 Complex refractive index= 1.300E+00 2.000E-03
 radius= 1.1086E-01 lambda= 2.1414E+05 x= 3.2528E-06

Qext=  1.4907E-08 Qsca=  1.0437E-23 Qabs=  1.4907E-08 <cos>= -0.0000E+00
                 Qbk =  1.2460E-24
  theta       S11           POL           S33           S34
  20.36   3.88693E-35   6.44601E-02   3.87885E-35   0.00000E+00
  20.45   3.88481E-35   6.50428E-02   3.87658E-35   0.00000E+00
  20.54   3.88268E-35   6.56284E-02   3.87431E-35   0.00000E+00
  20.63   3.88054E-35   6.62167E-02   3.87203E-35   0.00000E+00
  20.72   3.87840E-35   6.68078E-02   3.86973E-35   0.00000E+00
  20.81   3.87624E-35   6.74016E-02   3.86743E-35   0.00000E+00
  20.90   3.87408E-35   6.79981E-02   3.86512E-35   0.00000E+00
  20.99   3.87191E-35   6.85975E-02   3.86279E-35   0.00000E+00
  21.08   3.86974E-35   6.91997E-02   3.86046E-35   0.00000E+00
  21.17   3.86755E-35   6.98046E-02   3.85812E-35   0.00000E+00
  21.26   3.86536E-35   7.04123E-02   3.85577E-35   0.00000E+00
  21.35   3.86316E-35   7.10228E-02   3.85341E-35   0.00000E+00
  21.44   3.86096E-35   7.16361E-02   3.85104E-35   0.00000E+00
  21.53   3.85874E-35   7.22521E-02   3.84866E-35   0.00000E+00
  21.62   3.85652E-35   7.28709E-02   3.84627E-35   0.00000E+00
  21.71   3.85429E-35   7.34926E-02   3.84387E-35   0.00000E+00
  21.80   3.85206E-35   7.41170E-02   3.84146E-35   0.00000E+00
  21.89   3.84981E-35   7.47442E-02   3.83905E-35   0.00000E+00
  21.98   3.84756E-35   7.53742E-02   3.83662E-35   0.00000E+00
  22.07   3.84530E-35   7.60070E-02   3.83418E-35   0.00000E+00
  22.16   3.84304E-35   7.66426E-02   3.83174E-35   0.00000E+00
  22.25   3.84077E-35   7.72810E-02   3.82928E-35   0.00000E+00
  22.34   3.83849E-35   7.79222E-02   3.82681E-35   0.00000E+00
  22.43   3.83620E-35   7.85663E-02   3.82434E-35   0.00000E+00
  22.52   3.83390E-35   7.92131E-02   3.82186E-35   0.00000E+00
  22.61   3.83160E-35   7.98627E-02   3.81936E-35   0.00000E+00
  22.70   3.82929E-35   8.05152E-02   3.81686E-35   0.00000E+00
  22.79   3.82698E-35   8.11705E-02   3.81435E-35   0.00000E+00
  22.88   3.82465E-35   8.18285E-02   3.81183E-35   0.00000E+00
  22.97   3.82232E-35   8.24895E-02   3.80930E-35   0.00000E+00
  23.06   3.81998E-35   8.31532E-02   3.80676E-35   0.00000E+00
  23.15   3.81764E-35   8.38199E-02   3.80421E-35   0.00000E+00
  23.24   3.81529E-35   8.44893E-02   3.80165E-35   0.00000E+00
  23.33   3.81293E-35   8.51615E-02   3.79908E-35   0.00000E+00
  23.42   3.81056E-35   8.58366E-02   3.79650E-35   0.00000E+00
  23.51   3.80819E-35   8.65145E-02   3.79391E-35   0.00000E+00
  23.60   3.80581E-35   8.71952E-02   3.79132E-35   0.00000E+00
  23.69   3.80342E-35   8.78788E-02   3.78871E-35   0.00000E+00
  23.78   3.80103E-35   8.85653E-02   3.78609E-35   0.00000E+00
  23.87   3.79863E-35   8.92546E-02   3.78347E-35   0.00000E+00
  23.96   3.79622E-35   8.99467E-02   3.78083E-35   0.00000E+00
  24.05   3.79381E-35   9.06416E-02   3.77819E-35   0.00000E+00
  24.14   3.79139E-35   9.13394E-02   3.77554E-35   0.00000E+00
  24.23   3.78896E-35   9.20402E-02   3.77288E-35   0.00000E+00
  24.32   3.78652E-35   9.27438E-02   3.77020E-35   0.00000E+00
